"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""numerical highlights""","mathematical features","94"
"""to be freelance""","independent","94"
"""solitary vector""","single vector","94"
"""bogus up-side""","false positive","94"
"""tall exactness""","high accuracy","94"
"""global diary""","International Journal","94"
"""affectability and particularity""","sensitivity and specificity","94"
"""speech popularity""","speech recognition","93"
"""feed-forward organizations""","feed-forward [neural] networks","92"
"""machine taking in""","machine learning","92"
"""iris acknowledgment"" AND ""iris recognition""","iris recognition","92"
"""condition of craftsmanship""","state of the art","92"
"""stream conveyance""","stream flow","92"
"""bogus negative"" AND ""false negative""","false negative","92"
"""picture splitting""","image segmentation","92"
"""fuzzy mixing""","fuzzy aggregation","92"
"""recognizing confirmation""","identification","92"
"""depressing influence"" AND ""negative effect""","negative effect","92"
"""misleading up-side""","false positive","92"
"""far off detecting""","remote sensing","92"
"""manmade brainpower""","artificial intelligence","91"
"""foundation commotion""","background noise","91"
"""education facts"" AND ""training data""","training data","91"
"""butterfly impact""","butterfly effect","91"
"""troupe learning""","ensemble learning","91"
"""discourse handling""","speech processing","91"
"""foundation subtraction""","background subtraction","91"
"""angel classification""","angle's classification","91"
"""overall advancement"" AND ""average growth""","average growth","91"
"""assimilation band""","absorption band","91"
"""covariance lattice""","covariance matrix","91"
"""hazard the executives""","risk management","91"
"""spectral highlights""","spectral features","90"
"""Common Language Processing""","natural language processing (NLP)","90"
"""picture differentiate""","image contrast","90"
"""blood ailments""","blood disease","90"
"""data board"" AND ""dashboard""","dashboard","90"
"""protein articulation""","protein expression","89"
"""kidney disappointment""","kidney failure","89"
"""age of ROS""","lifetime of ROS","89"
"""normal least-squares"" AND ""ordinary least squares""","ordinary least squares","89"
"""undesirable markers""","harmful markers","89"
"""optical person""","optical character recognition (OCR)","89"
"""repetitive brain organization""","recurrent neural network","89"
"""quantum specks""","quantum dots","89"
"""linear relapse""","linear regression","89"
"""chaotic grid""","confusion matrix","89"
"""subordinate frameworks""","dependent models","89"
"""picture handling calculation""","image processing algorithm","89"
"""logical growth phage""~5","logarithmic growth phase","89"
"""discrete Fourier change""","Discrete Fourier Transform","88"
"""cease-to-stop""","end-to-end","88"
"""directed learning calculation""","supervised learning algorithm","88"
"""pooling stratum""","pooling layer (in a neural network)","88"
"""voter authenticity""","voter identification","88"
"""arrangement strategy"" AND ""classification method""","classification method","88"
"""irresistible ailment""","contagious disease","88"
"""integrated energy framework""","integrated energy system","88"
"""ozone depleting substance outflows""","greenhouse gas emissions","88"
"""hazard administration"" AND ""risk management""","risk management","88"
"""include guide"" AND ""CNN""","feature map","88"
"""emotion popularity""","emotion recognition","87"
"""gated repetitive units""","gated recurrent units","87"
"""class unevenness""","class imbalance","87"
"""neurodegenerative sickness""","neurodegenerative disease","87"
"""quickening the rate""","acceleration","87"
"""decomposing pressure""","oxidative stress","87"
"""man-made knowledge""","artificial intelligence","87"
"""fake brain organization""","artificial neural network","87"
"""skinny films""","thin films","87"
"""phantom highlight""","spectral features","87"
"""geological locale""","geographical locations","87"
"""secret Markov""","Hidden Markov Model (HMM)","87"
"""man-in-the-middle (MitM) assault""","man-in-the-middle (MitM)","87"
"""direct programming"" AND ""linear programming""","Linear Programming (LP)","87"
"""mist registering""","mist computing","87"
"""assistance vector machine""","support vector machine (SVM)","87"
"""delicacy, perfection, recall""","accuracy, perfection, recall","86"
"""wireless sensor community""","wireless sensor network","86"
"""cross-endorsement"" AND ""classification""","cross-validation","86"
"""prevent words"" AND ""stop words""","stop words","86"
"""energy utilization design""","energy consumption pattern","86"
"""light crystal display""","liquid crystal display (LCD)","86"
"""directing layer""","routing layer","86"
"""haze figuring""","fog/mist/cloud computing","86"
"""transactions are unknown""","transactions are anonymous","86"
"""Byzantine assault""","Byzantine attack","86"
"""porous carbon molecule""","porous carbon material","86"
"""return misfortune""","return loss","86"
"""exactness pace""","accuracy rate","85"
"""rural yield""","agricultural yield","85"
"""utilized to check the robustness""","used to test robustness","85"
"""ordinary minimum squares""","ordinary least squares","85"
"""radiation proficiency""","radiation efficiency","85"
"""food squander""","food waste","85"
"""boundless drive""","infinite impulse response","85"
"""range arrange""","area network","85"
"""biometric highlight""","biometric feature","84"
"""hippocampus decay""","hippocampal atrophy","84"
"""enthusiastic condition""","emotional state","84"
"""sedate conveyance""","drug delivery","84"
"""bullwhip impact""","bullwhip effect","84"
"""interference recognition"" AND ""intrusion detection""","intrusion detection","84"
"""yield photograph""","output image","84"
"""shrewd sensors""","smart sensors","84"
"""content-to-discourse""","text-to-speech","84"
"""data blunder""","data error","84"
"""molecule swarm optimization""","particle swarm optimization (PSO)","84"
"""nasal hole""","nasal cavity","84"
"""force PSA""","Momentum PSA (MPSA)","83"
"""creature well-being""","animal health","83"
"""quit-to-quit""","end-to-end","83"
"""code as a service""","software as a service","83"
"""verification of work"" AND ""blockchain""","proof of work","83"
"""deep perception networks""","Deep Belief Networks (DBN)","83"
"""measurable highlights""","evaluation metric ?","83"
"""outlandish proposition""","extravagant claim","83"
"""pre-managing""","pre-processing","83"
"""atomic vitality""","nuclear energy","83"
"""community latency""","network latency","83"
"""brilliant contract""","smart contract","83"
"""water profundity""","water depth","83"
"""proposal motor""","recommendation engine","83"
"""worldwide diary""","International Journal","83"
"""translation calculate""","Probabilistic Interpretation","82"
"""made sense of change""","Explained Variance","82"
"""hereditary administrator""","genetic algorithm","82"
"""extreme intense respiratory""","severe acute respiratory","82"
"""well concurred""","is in accord, correlates","82"
"""conceals layers""","hidden layers","82"
"""hydrochloric corrosive""","hydrochloric acid","82"
"""elliptic bend cryptography""","elliptic-curve cryptography (ECC)","82"
"""bogus caution""","false alarm","82"
"""digital promoting""","digital marketing","82"
"""corridor impact"" AND (""magnetic"" OR ""voltage"" OR ""sensor"")","Hall effect","82"
"""laptop algorithms""","machine algorithms","82"
"""brilliant sensors""","smart sensors","82"
"""Hilbert change""","Hilbert transform","82"
"""speaker affirmation""","speaker recognition","82"
"""highlight extractors""","feature extractors","82"
"""gulf pressure""","inlet pressure","82"
"""Gaussian blend model""","Gaussian mixture model","82"
"""circular flask""","round-bottom flask","81"
"""radio repeat""","radio frequency","81"
"""Gaussian clamor""","Gaussian noise","81"
"""center pay nations""","middle income countries","81"
"""supply cloth""","source material","81"
"""prescient system""","predictive system","81"
"""leave-out price""","Miss rate","81"
"""Ground-Verify""","Ground-truth","81"
"""calculation intricacy""","computational complexity","81"
"""world solitary""","world unique","81"
"""incorporate vector"" AND ""feature vector""","feature vector","81"
"""shares similitude""","shares similarity","81"
"""optical character acknowledgment""","Optical Character Recognition (OCR)","81"
"""data and correspondence innovation (ICT)""","information and communications technology (ICT)","81"
"""various sclerosis""","multiple sclerosis","80"
"""globe Health Organization""","World Health Organization","80"
"""restorative experts""","medical experts","80"
"""picture pre-handling""","picture pre-processing","80"
"""labor in-depth""","labor intensive","80"
"""support vector device""","support vector machine (SVM)","80"
"""cutting-edge execution""","state-of-the-art performance","80"
"""leftover vitality""","remaining energy","80"
"""mist hub""","cloud hub","80"
"""Companion in Nursing""","Associate in Nursing","80"
"""separating highlight"" NOT specular","distance feature (?)","80"
"""warmth transmission""","heat transfer","80"
"""balance fixation""","Equilibrium concentration","80"
"""artificial brain network""","artificial neural network","80"
"""information growth"" AND ""data augmentation""","data augmentation","80"
"""dissolvable chromatographic""~20","solvent","79"
"""repetitive neural organizations""","recurrent neural networks","79"
"""decidedly charged""","positively charged","79"
"""peculiarity discovery""","anomaly detection","79"
"""half breed model""","hybrid model","79"
"""manufactured neural system""","Backpropagation Neural Network (BPNN)","79"
"""profound training"" AND ""deep learning""","deep learning","79"
"""outwardly weakened""","visually impaired","79"
"""totally related layer""","fully-connected layer (neural network)","79"
"""lung most cancer""","lung cancer","78"
"""generative hostile networks""","generative adversarial networks","78"
"""dry hack""","dry cough","78"
"""talk signal"" AND ""speech signal""","speech signal","78"
"""shrewd vehicle""","smart vehicle","78"
"""generative ill-disposed""","generative adversarial (network)","78"
"""convolutional neural arrange""","convolutional neural network","78"
"""heart fee""","heart rate","78"
"""passionate condition""","emotional condition","78"
"""area of enthusiasm""","region of interest","78"
"""Bohr range""","Bohr radius","78"
"""genuine world dataset""","real-world dataset","78"
"""shrewd transportation""","intelligent transportations","78"
"""malignant growth cell lines""","cancer cell lines","78"
"""brilliant matrix""","smart grid","77"
"""selection bush""","decision tree","77"
"""cloud computing surroundings""","cloud computing environment","77"
"""REM rest""","REM sleep","77"
"""reactant action""","catalytic activity","77"
"""clever house""","smart home","77"
"""shrewd contract""","smart contract","77"
"""Parkinson's malady""","Parkinson's disease","77"
"""attractive stirrer"" NOT ""repulsive""","magnetic stirrer","77"
"""human movement acknowledgment""","human activity recognition","77"
"""lymphatic framework""","lymphatic system","77"
"""commotion decrease""","noise reduction","77"
"""atomic DNA""","nuclear DNA","77"
"""kinematic thickness""","kinematic viscosity","77"
"""man-made thinking""","artificial intelligence","77"
"""generate more items"" AND ""goods""","produce more goods","77"
"""savvy libraries""","knowledge databases","77"
"""mechanized thinking""","artificial intelligence","76"
"""haze registering""","fog/mist/cloud computing","76"
"""keen urban area""","smart city","76"
"""activity unit"" AND ""action units""","Action Units (AU)","76"
"""speaker segregation""","speaker segmentation","76"
"""engine neuron""","motor neuron","76"
"""wireless sensor system (WSN)""","wireless sensor network","76"
"""jumping box"" AND ""bounding box""","bounding box","76"
"""dark matter expectation""","grey model prediction","76"
"""affected person fitness""","patient health","76"
"""glucose fixation""","glucose concentration","76"
"""fetal development limitation""","fetal growth restriction","76"
"""cross-entropy misfortune""","cross-entropy loss","76"
"""pass-over charge""","miss rate","76"
"""resource bubble""","asset bubble","76"
"""magnetic reverberation""","magnetic resonance","75"
"""border situation"" AND ""boundary condition""","boundary condition","75"
"""fundamental gathering""","functional groups","75"
"""summon line""","command line","75"
"""carboxylic corrosive""","carboxylic acid","75"
"""preparation informational index""","training dataset","75"
"""hand motion acknowledgment""","hand gesture recognition","75"
"""greasy liver""","fatty liver (disease)","75"
"""limited component strategy""","finite element method","75"
"""brilliant lattice""","smart network","75"
"""accuracy agribusiness""","precision agriculture","75"
"""concoction properties""","chemical properties","75"
"""crop checking""","crop monitoring","75"
"""money related framework""","financial systems","75"
"""thyroid sickness""","???","74"
"""tall temperature""","high temperature","74"
"""male transcendence""","male predominance","74"
"""antagonistic assaults""","adversarial attacks","74"
"""denial of carrier""","denial of service (DoS)","74"
"""transcribed digit""","handwritten digit (recognition)","74"
"""convulsive neural""","convolutional neural (network)","74"
"""cease-to-end""","end-to-end","74"
"""diminishing sugar""","reduce sugar","73"
"""picture affirmation""","image recognition","73"
"""planning set"" AND ""training set""","training set","73"
"""secrecy frameworks""","stealth systems","73"
"""IEEE Exchanges on""","IEEE Transactions on","73"
"""Autumn Armyworm""","Fall armyworm","73"
"""pigeonholing classification""~10","classification","73"
"""CO2 effusion""","CO2 emission","73"
"""mist figuring""","mist computing","73"
"""evidence of stake""","proof of stake","73"
"""preparing prepare""","training process","73"
"""outwardly debilitated""","visually impaired","73"
"""prescient framework""","predictive model","73"
"""fake brain networks""","artificial neural networks","73"
"""relapse tree""","regression tree","73"
"""nitric corrosive""","nitric acid","73"
"""electrically directing""","electrically conducting","72"
"""review esteem""","?? value","72"
"""efflux bombs""","efflux pumps","72"
"""U-internet"" AND ""CNN""","U-Net","72"
"""ECG flag""","ECG signal","72"
"""sign to clamor""","signal to noise","72"
"""floor truth""","ground truth","72"
"""open mists""","open cloud","72"
"""pre-educated model""","pre-trained model","72"
"""mind growth"" AND ""brain tumor""","brain tumor","72"
"""portable specially appointed systems""","mobile ad hoc networks","72"
"""squander the executives""","waste management","72"
"""spinal string""","spinal cord","72"
"""hindrance zone""","inhibition zone","72"
"""fluffy C implies""","fuzzy C means","72"
"""Nusselt numeral""","Nusselt number","72"
"""boisterous information""","noisy data","72"
"""stop-to-cease""","end-to-end","72"
"""has turned out to be a standout""","was one of the key","72"
"""logical motor""","analytical engine (Babbage's invention)","71"
"""grid hunt""","grid search","71"
"""expanded Dickey-Fuller""","augmented Dickey-Fuller","71"
"""exchange work"" AND ""transfer function""","transfer function","71"
"""vitality devoured""","energy use","71"
"""image recuperation""","image recovery","71"
"""more seasoned grown-ups""","older adults / seniors / elderly people?","71"
"""vitality market""","energy market","71"
"""chest anxiety""","chest discomfort","71"
"""warm camera""","thermal camera","71"
"""Global Gathering on""","International Conference on","71"
"""face reputation"" AND ""face recognition""","face recognition","71"
"""discourse union""","speech synthesis","71"
"""savvy meter""","smart meter","71"
"""warm capacity""","heat capacity","71"
"""recall door""","forget gate (a part of LSTM)","71"
"""Rayleigh blurring""","Rayleigh fading","71"
"""electronic well-being record""","electronic health record (EHR)","71"
"""a given gift""","a known present","71"
"""decision bushes""","decision trees","70"
"""Fourier remodel""","Fourier transform","70"
"""synthetic response"" AND (""be that as it"" OR ""on the off chance"")","chemical reaction","70"
"""amalgamation of Nps""","formation/development/synthesis of Nps","70"
"""environmental defilement""","environmental degradation","70"
"""loads and predispositions"" NOT ""COVID""","weights and biases (neural network parameters)","70"
"""squander the board""","???","70"
"""angle plummet""","gradient descent","70"
"""fundamental sickness""","chronic infections","70"
"""concurrent localization and mapping""","Simultaneous Localization and Mapping (SLAM)","70"
"""surgical intercession""","surgical intervention","70"
"""approval and translation""","validation and interpretation","70"
"""head part examination""","principal component analysis (PCA)","70"
"""self-organizing path""","self organizing map (SOM)","70"
"""warmth transport"" AND ""flow""","heat transfer","69"
"""vicinity unit""","area unit","69"
"""neighborhood binary pattern""","Local Neighbor Binary Pattern (LNBP)","69"
"""watery concentrate""","aqueous extract","69"
"""variant operator"" AND ""mutation operator""","mutation operator","69"
"""enactment energy""","Activation energy","69"
"""k esteem""","K value","69"
"""exactness esteem""","accuracy value","69"
"""cerebrum network""","neural network","69"
"""professionals and cons""","pros and cons","69"
"""Alzheimer's malady""","Alzheimer's disease","69"
"""Naive mathematician""","Naïve Bayes","69"
"""quickening voltage""","accelerating voltage","68"
"""nation-of-art""","state-of-the-art","68"
"""superior visualization"" AND ""better detection""","better detection","68"
"""commotion evacuation""","noise removal","68"
"""facial milestone""","facial landmark","68"
"""denial of provider""","denial of service (DoS) (attack)","68"
"""fractional differential conditions""","Partial Differential Equation (PDE)","68"
"""wise assembling""","intelligent manufacturing","68"
"""omit price"" AND ""miss rate""","miss rate","68"
"""wind propellers"" AND ""wind turbines""","wind turbines","68"
"""potassium dihydrogen sulfate""","potassium hydrogen sulfate","68"
"""invulnerable cell""","immune cell","68"
"""convolutional squares""","convolutional block","68"
"""troublesome technologies""","disruptive technologies","68"
"""Gaussian combination models""","Gaussian Mixture Models (GMM)","68"
"""savvy lattice""","smart network","68"
"""shut circle framework""","closed-loop framework","67"
"""wild issue""","important issue","67"
"""banking quarter""","banking sector","67"
"""drawn-out impacts""","???","67"
"""uncooked information""","raw data","67"
"""artificial neural organizations""","artificial neural networks","67"
"""motor vitality""","kinetic energy","67"
"""regulated learning calculation""","supervised learning algorithm","67"
"""dormant environment""","inert atmosphere","67"
"""way of life media""","culture media","67"
"""establishment work"" AND ""neural""","activation function","67"
"""cross breed frameworks""","hybrid systems","67"
"""data and communication innovation""","information and communications technology (ICT)","67"
"""matrix hunt""","grid search","67"
"""administered machine learning""","supervised machine learning","67"
"""determination settlement""","???","67"
"""keen contract""","smart contract","67"
"""profound gaining""","deep learning","67"
"""intermittent neural system""","recurrent neural network","67"
"""luxurious equipment""","expensive equipment","66"
"""expulsion effectiveness""","Removal effectiveness","66"
"""version schooling""","model training","66"
"""respiratory disappointment""","respiratory failure","66"
"""mystery layer""","hidden layer","66"
"""coaching information"" AND ""training data""","training data","66"
"""district of intrigue""","region of interest","66"
"""bosom tumor""","breast cancer","66"
"""sound flag""","sound signal","66"
"""order exactness"" AND ""classification accuracy""","classification accuracy","66"
"""radiomic highlights""","radiomic features","66"
"""half-breed approach""","hybrid approach","66"
"""scanty representations""","sparse representations","66"
"""malignant assault""","malicious attack","66"
"""threshold esteem""","threshold value","66"
"""social database"" AND ""NoSQL""","relational database","65"
"""regional convolutional"" AND ""recurrent convolutional""","recurrent convolutional (RCNN)","65"
"""smart cities and networks""","smart cities and communities","65"
"""human-PC communications""","human-computer interaction (HCI)","65"
"""warm solace""","thermal comfort","65"
"""slant investigation""","trend analysis","65"
"""networks molecules"" AND ""crosslinked polymers""","crosslinked polymers","65"
"""intermittent nets""","recurrent [neural] networks","65"
"""eigen esteems""","eigenvalues","65"
"""foundation clamor""","background noise","65"
"""human-PC cooperation""","human-computer interaction (HCI)","65"
"""system mastering strategies""","machine learning techniques","65"
"""Most extreme Entropy""","Maximum entropy (ME)","64"
"""acknowledgment pace""","recognition rate","64"
"""coordinated non-cyclic chart""","directed acyclic graphs (DAGs)","64"
"""parallel blend""","binary mixture","64"
"""wavelet rework""","wavelet transform","64"
"""Human-PC Interface""","Human-Computer Interface (HCI)","64"
"""straight polarization""","linear polarization","64"
"""self-ruling vehicles""","autonomous vehicles","64"
"""as seeks after""","as follows","64"
"""concoction response""","chemical reaction","64"
"""Radio Recurrence Recognizable proof""","Radio Frequency Identification (RFID)","64"
"""hearing misfortune""","hearing loss","64"
"""regenerative framework"" AND ""reproductive""","reproductive system","64"
"""design acknowledgment pattern recognition""~20","pattern recognition","64"
"""diffractor meter""","diffractometer","63"
"""question successions""","query sequences","63"
"""herbal choice""","natural selection","63"
"""dispersing parameter""","scattering parameter","63"
"""speaker acknowledgment"" AND ""speaker recognition""","speaker recognition","63"
"""enlistment engine""","induction motor","63"
"""impeding antibodies""","inhibitory antibodies","63"
"""coronary corridor""","coronary artery","63"
"""whole C"" AND ""total organic carbon""","Total organic carbon","63"
"""isolated into two gatherings""","separated into two groups","63"
"""warmth map""","heat map","63"
"""gotten impressive consideration""","received considerable attention","63"
"""outspread premise work""","radial basis function","63"
"""grouping errand""","classification task","63"
"""Partial Component Analysis (PCA)""","Principal Component Analysis (PCA)","63"
"""AI draws near""","AI approaches (as in \""methods\"")","63"
"""outwardly hindered""","visually impaired","62"
"""slant examination""","sentiment analysis","62"
"""sort 2 diabetes""","type 2 diabetes","62"
"""cell reasonability""","cell sensitivity","62"
"""savvy card""","smart card","62"
"""world wellbeing organization""","World Health Organization (WHO)","62"
"""generative opposed network""","generative adversarial network","62"
"""PC based knowledge""","Computer-based knowledge","62"
"""gum ailments""","gum disease","62"
"""spam sifting""","spam filtering","62"
"""penmanship acknowledgment""","handwriting acknowledgement","62"
"""ozone depleting substance emanations""","greenhouse gas emissions","62"
"""fever, hack""","fever, cough","62"
"""bleaching equation""","bleaching kinetic","62"
"""word blunders""","word errors (as in \""word error rate\"")","61"
"""Eckert quantity""","Eckert number","61"
"""stoner experience""","user experience","61"
"""quick Fourier change""","Fast Fourier Transform","61"
"""nonstop checking""","continuous checking","61"
"""convolution neural community""","convolutional neural network","61"
"""head part investigation""","principal component analysis (PCA)","61"
"""half and half framework""","hybrid system","61"
"""misleading positive rate""","false positive rate","61"
"""commotion expulsion""","noise removal","61"
"""far from customary""","rare","61"
"""passionate mood""","emotional state","61"
"""faulty neural network""","convolutional neural network (CNN)","61"
"""R2 esteem""","R2 value","61"
"""intermittent organization""","recurrent network","61"
"""feeling dictionary""","sentiment dictionary","61"
"""refractive list""","refractive index","61"
"""savvy machines""","smart devices","61"
"""procedure structure"" AND ""process design""","process design","61"
"""Fourier rework""","Fourier transform","61"
"""solitary variable"" AND ""independent variable""","independent variable","61"
"""insight officials""","intelligence officers","61"
"""mRNA articulation""","mRNA expression","61"
"""real-time statistics analysis""","real-time data analysis","60"
"""speaker subordinate""","speaker-dependent","60"
"""back propagation neural system""","back propagation neural network","60"
"""natural liquids"" AND ""biological fluid""","biological fluid","60"
"""subterranean insect state""","ant colony","60"
"""inclination bearing""","gradient direction","60"
"""arbitrary strolls""","random walks","60"
"""Markov arbitrary""","Markov random fields","60"
"""half and half methodology""","hybrid approach","60"
"""stochastic inclination""","stochastic gradient","60"
"""intermittent neural organizations""","recurrent neural networks","60"
"""manufactured discourse""","synthesized speech","60"
"""R2 worth""","R2 value","60"
"""compressive detecting""","compressive sensing","60"
"""Adam enhancer""","Adam optimizer","60"
"""Choroid Neovascularisation""","Choroidal Neovascularisation (CNV)","60"
"""administered artificial intelligence""","supervised artificial intelligence","60"
"""sans hands""","hands-free","60"
"""system learning (ML)""","machine learning (ML)","60"
"""discourse flag""","speech signal","59"
"""organization assault""","network attack","59"
"""programmed discourse acknowledgment""","automatic speech recognition (ASR)","59"
"""test portraits""","picture pre-processing","59"
"""effluent of CO2""","emission of CO2","59"
"""organic corrosive""","organic acid","59"
"""restricting locales""","binding sites","59"
"""clothes airers""","???","59"
"""essential component analysis""","principal component analysis (PCA)","59"
"""web scratching""","web scraping","59"
"""intense angle""","acute angle","59"
"""python bundle""","Python package","59"
"""halfway differential""","partial differential","59"
"""clamour decrease""","noise reduction","59"
"""folic corrosive""","folic acid","59"
"""budgetary division""","financial corporations","59"
"""vitality meter""","energy meter","59"
"""more established grown-ups""","older adults / seniors / elderly people?","59"
"""money-related emergency""","financial crisis","59"
"""group head (CH)""","cluster head","59"
"""Multi-layer reticle""","Multi-layer resist (MLR) ?","59"
"""talk update""","speech enhancement","59"
"""kind injuries""","benign injuries","58"
"""exchange training"" AND ""transfer learning""","transfer learning","58"
"""locale of intrigue""","region of interest","58"
"""speculative proteins""","hypothetical proteins","58"
"""hereditarily adjusted""","genetically modified","58"
"""half breed framework""","hybrid system","58"
"""currently a-days""","nowadays","58"
"""mind cancer"" AND ""brain cancer""","brain cancer","58"
"""region under the bend""","area under the curve (AUC)","58"
"""picture enlistment""","image registration","58"
"""diverse sum""","various amount (quantity)","58"
"""Gaussian conveyance""","Gaussian distribution","58"
"""vitality move""","energy transfer","58"
"""Crohn's infection""","Crohn's disease","58"
"""optimistic and important""","positive and significant","57"
"""cryptanalysis assaults""","cryptanalysis attacks","57"
"""separate the highlights"" NOT specular","extract the features","57"
"""phony picture""","fake image","57"
"""Man-made Reasoning (AI)""","Artificial Intelligence (AI)","57"
"""perplexity framework""","confusion matrix","57"
"""brilliant cultivating""","smart agriculture","57"
"""sigmoid actuation""","sigmoid activation","57"
"""convective neural network""","convolutional neural network (CNN)","57"
"""speaker autonomous""","speaker independent","57"
"""counterfeit knowledge""","artificial intelligence","57"
"""mind cellular""","???","57"
"""stoner interface""","user interface","57"
"""estimation of convergent validity""","Average Variance Extracted (AVE)","57"
"""shrouded units""","hidden units","57"
"""numerous sclerosis""","multiple sclerosis","57"
"""principal component examination""","principal component analysis","57"
"""more prominent exactness""","higher accuracy","56"
"""single-shot identification""","Single-Shot Detector (SSD)","56"
"""feed-forward neural organization""","feed forward neural network","56"
"""arrive utilize""","land use","56"
"""purpose of offer""","Point of Sale","56"
"""therapeutic conclusion"" AND ""medical diagnosis""","medical diagnosis","56"
"""inclination plummet""","gradient descent","56"
"""to settle the nanoparticle""","stabilize the nanoparticle","56"
"""administered learning calculations""","supervised learning algorithms","56"
"""direct SVM"" AND ""linear SVM""","linear SVM","56"
"""worldwide positioning system""","Global Positioning System (GPS)","56"
"""dynamic consistency"" AND ""dynamic viscosity""","dynamic viscosity","56"
"""applicable examine""","???","56"
"""nice-tuning""","fine-tuning","56"
"""Worldwide Diary of""","International Journal of","56"
"""assessment gadget""","evaluation system","56"
"""elective vitality""","renewable energy","56"
"""median channel"" AND ""median filter""","median filter","56"
"""distant worker"" AND ""cloud computing""","remote server","56"
"""Single Shot Identification""","Single Shot Detection (SSD)","56"
"""curvelet change""","curvelet transformation","56"
"""Gabor change""","Gabor transform","56"
"""fluffy logic""","fuzzy logic","56"
"""hereditary data"" AND ""genetic information""","genetic information","56"
"""research zeroed in""","research focused","55"
"""natural photovoltaic""","organic photovoltaic","55"
"""initiation capacity"" AND ""activation function""","activation function","55"
"""desire tree""","decision tree","55"
"""shrewd lattice""","smart network","55"
"""oddity location""","anomaly detection","55"
"""unmarried factor""","single factor","55"
"""timing assault""","timing attack (a cryptanalysis attack)","55"
"""savvy devices""","smart devices","55"
"""liquidity hazard""","liquidity risk","55"
"""morphological administrator""","morphological operator","55"
"""respiratory plot""","respiratory tract","55"
"""premise work"" AND ""basis function""","basis function","55"
"""hereditary programming""","genetic programming","55"
"""pre-dealing with""","pre-processing","55"
"""muscle shortcoming""","muscle weakness","55"
"""uphold vector machine""","support vector machine (SVM)","55"
"""first class of service""","quality of service (QoS)","55"
"""Gaussian appropriations""","Gaussian components","55"
"""computational liquid elements""","computational fluid dynamics","55"
"""affectability, explicitness""","sensitivity, specificity","55"
"""metric capacity unit""","machine learning (ML)","54"
"""discern 5"" AND ""figure 5""","figure 5","54"
"""facial acknowledgement""","face recognition","54"
"""crying knowledge""","???","54"
"""genuine up-sides""","true positive","54"
"""keen lattice""","smart network","54"
"""end-to-cease""","end-to-end","54"
"""likelihood thickness work""","Probability Density Function (PDF)","54"
"""gated-repetitive unit (GRU)""","gated recurrent unit (GRU)","54"
"""ailing districts""","tumor region","54"
"""fluffy c-mean""","fuzzy c-mean","54"
"""go-layer"" AND ""cross-layer""","\""cross-layer\""","54"
"""secrecy abilities""","stealth (in the context of nanoparticles)","54"
"""explainability computation""","explanation computation?","54"
"""stomach related framework""","???","54"
"""regular language preparing""","natural language processing (NLP)","54"
"""bosom growth""","breast cancer","54"
"""carbon dioxide secretions""","carbon dioxide emissions","54"
"""fringe gadget""","peripheral device","53"
"""resource esteems""","asset prices","53"
"""races are responsible""","fair competition","53"
"""false high-quality""","false positive","53"
"""10-crease cross""","10-fold cross (validation)","53"
"""gastric corrosive""","gastric acid","53"
"""right of method""","right of way","53"
"""energy attentive""","energy efficient","53"
"""explicit illness""","specific illness","53"
"""co-event framework""","co-occurrence matrix","53"
"""Center i7""","Core i7","53"
"""picture enrollment""","picture transformation","53"
"""10-overlap cross approval""","10-fold cross validation","53"
"""outfit classifier""","ensemble classifier","53"
"""inclination helping""","gradient boosting","53"
"""backslide model""","regression model","53"
"""key execution markers""","key performance indicators (KPI)","53"
"""blended whole number""","mixed integer","53"
"""blunder term""","error term","53"
"""ensemble getting to know""","ensemble learning","52"
"""ballot strategy""","voting strategy","52"
"""reflex coefficient""","reflection coefficient","52"
"""social designing"" AND ""social engineering""","social engineering","52"
"""tweet order""","tweet classification","52"
"""malicious hobbies""","???","52"
"""start to finish model""","end-to-end model","52"
"""extricate the information""","extract data","52"
"""savage power"" AND ""brute""","brute force","52"
"""shrouded state""","hidden state (in HMM)","52"
"""spiral premise work""","radial basis function (RBF)","52"
"""ecological eminence""","environmental quality","52"
"""independent element analysis""","independent component analysis (ICA)","52"
"""convolution brain organization""","convolutional neural network (CNN)","52"
"""organ disappointment""","organ failure","52"
"""Intermittent Brain Organizations""","Recurrent Neural Networks (RNNs)","52"
"""Serious Intense Respiratory Disorder""","severe acute respiratory syndrome (SARS)","52"
"""image upgrade"" AND ""image enhancement""","image enhancement","52"
"""marked information"" AND ""labeled data""","labeled data","52"
"""exploratory information examination""","exploratory data analysis (EDA)","52"
"""bogus positive FP""~5","false positive","52"
"""intermittent brain organisations""","recurrent neural network (RNN)","52"
"""vehicle acknowledgment"" AND ""vehicle identification""","vehicle identification","52"
"""multidrug safe""","Multiple drug resistance (MDR)","52"
"""effusions of carbon""","emissions of carbon","51"
"""mechanical homes"" AND ""mechanical properties""","mechanical properties","51"
"""fit file"" AND ""fit index""","Fit Index","51"
"""research gadget""","research tool","51"
"""traffic the board"" AND ""traffic management""","traffic management","51"
"""packet shipping ratio""","packet delivery ratio (PDR)","51"
"""important component analysis""","Principal Component Analysis (PCA)","51"
"""Worldwide Meeting on""","International Conference on","51"
"""quantitative achievement"" AND ""quantitative result""","quantitative result","51"
"""phosphoric corrosive""","phosphoric acid","51"
"""two factor confirmation""","two factor authentication","51"
