pair_id,abstract_id_a,abstract_id_b,pair_class,reviewed_verdict,review_confidence,recommended_pair_class,review_group,review_basis,review_rationale,primary_evidence,legitimate_study_context,suspicious_family,reviewer_notes,source_a,source_b
G043,34953,36400,Insufficient evidence,Generic genre-template similarity only,Medium,Insufficient evidence,Heuristic candidate downgraded on re-review,Corpus exact-match scan and TF-IDF review (cosine 0.367),"The pair shares a molecule or a common lncRNA/miRNA cancer-paper assay sequence, but no verbatim passage or sufficiently distinctive multi-sentence scaffold was found. This supports genre-level formulaicity, not pair-specific suspicious reuse.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, RECLASSIFIED] Originally labeled ""Possible template reuse"" based on a shared gene/lncRNA/miRNA symbol and similar assay-list structure. On stricter re-review (no verbatim exact-match text was found between these two abstracts anywhere in the corpus scan), this is downgraded: sharing a popular target molecule and standard field methodology (RT-qPCR, CCK-8, transwell, xenograft) is expected for independent papers in this genre and is not, by itself, evidence of template reuse per the labeling rubric. [TF-IDF title+abstract cosine similarity = 0.367] Titles follow the same fixed formula (lncRNA/miRNA <ENTITY> [promotes|inhibits] proliferation/migration/invasion via/by targeting/sponging <target>) with 'DLX6AS1' reused in a different tumor type. Methods sections both run the same assay chain (RT-qPCR, CCK-8/MTT, transwell migration+invasion, flow cytometry apoptosis, luciferase reporter target validation, xenograft in vivo, rescue experiment) in the same order. Institutions and author lists do not overlap (aside from possible coincidental common surnames), so this reuse is not explained by a shared research group.","Record ID 34953.0 - LncRNA DLX6-AS1 Promotes Malignant Phenotype and Lymph Node Metastasis in Prostate Cancer by Inducing LARGE Methylation (Frontiers in Oncology, DOI 10.3389/fonc.2020.01172)","Record ID 36400.0 - Down-regulated lncRNA DLX6-AS1 inhibits tumorigenesis through STAT3 signaling pathway by suppressing CADM1 promoter methylation in liver cancer stem cells (Journal of Experimental & Clinical Cancer Research: (CR), DOI 10.1186/s13046-019-1239-3)"
G044,35224,46603,Insufficient evidence,No suspicious template reuse,Medium,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.348),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.348] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 35224.0 - Long Non-Coding RNA LINC00466 Knockdown Inhibits Tongue Squamous Cell Carcinoma Malignancy by Targeting microRNA-493/HMGA2 (Cancer Management and Research, DOI 10.2147/CMAR.S282625)","Record ID 46603.0 - Long Intergenic Non-Protein Coding RNA 519 Promotes the Biological Activities of Tongue Squamous Cell Carcinoma by Sponging microRNA-876-3p and Consequently Upregulating MACC1 (OncoTargets and Therapy, DOI 10.2147/OTT.S279798)"
G045,34958,53799,Insufficient evidence,No suspicious template reuse,Medium,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.301),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.301] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 34958.0 - miRNA-193a-3p Regulates the AKT2 Pathway to Inhibit the Growth and Promote the Apoptosis of Glioma Cells by Targeting ALKBH5 (Frontiers in Oncology, DOI 10.3389/fonc.2021.600451)","Record ID 53799.0 - LINC01224 accelerates malignant transformation via MiR-193a-5p/CDK8 axis in gastric cancer (Cancer Medicine, DOI 10.1002/cam4.3726)"
G046,32604,52392,Insufficient evidence,No suspicious template reuse,Medium,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.287),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.287] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 32604.0 - MicroRNA-92a promotes tumor growth and suppresses immune function through activation of MAPK/ERK signaling pathway by inhibiting PTEN in mice bearing U14 cervical cancer (Cancer Medicine, DOI 10.1002/cam4.1329)","Record ID 52392.0 - Swainsonine represses glioma cell proliferation, migration and invasion by reduction of miR-92a expression (BMC Cancer, DOI 10.1186/s12885-019-5425-7)"
G047,32650,44096,Insufficient evidence,No suspicious template reuse,Medium,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.282),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.282] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 32650.0 - miRNA-641 Inhibits the Proliferation, Migration, and Invasion and Induces Apoptosis of Cervical Cancer Cells by Directly Targeting ZEB1 (OncoTargets and Therapy, DOI 10.2147/OTT.S190303)","Record ID 44096.0 - MicroRNA-296 Targets Specificity Protein 1 to Suppress Cell Proliferation and Invasion in Cervical Cancer (Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics, DOI 10.3727/096504017x15132494420120)"
G048,33485,57762,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.275),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.275] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 33485.0 - MicroRNA-675 Directly Targets MAPK1 to Suppress the Oncogenicity of Papillary Thyroid Cancer and is Sponged by Long Non-Coding RNA RMRP (OncoTargets and Therapy, DOI 10.2147/OTT.S213371)","Record ID 57762.0 - Long noncoding RNA CASC9 promotes the proliferation and metastasis of papillary thyroid cancer via sponging miR-488-3p (Cancer Medicine, DOI 10.1002/cam4.2839)"
G049,33334,33488,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.261),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.261] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 33334.0 - Downregulation of Long Noncoding RNA HOTAIR and EZH2 Induces Apoptosis and Inhibits Proliferation, Invasion, and Migration of Human Breast Cancer Cells (Cancer Biotherapy & Radiopharmaceuticals, DOI 10.1089/cbr.2017.2432)","Record ID 33488.0 - Long Intergenic Non-Coding RNA LINC00922 Aggravates the Malignant Phenotype of Breast Cancer by Regulating the microRNA-424-5p/BDNF Axis (Cancer Management and Research, DOI 10.2147/CMAR.S267665)"
G050,32650,46812,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.255),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.255] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 32650.0 - miRNA-641 Inhibits the Proliferation, Migration, and Invasion and Induces Apoptosis of Cervical Cancer Cells by Directly Targeting ZEB1 (OncoTargets and Therapy, DOI 10.2147/OTT.S190303)","Record ID 46812.0 - Long Intergenic Non-Coding RNA LINC00885 Promotes Tumorigenesis of Cervical Cancer by Upregulating MACC1 Expression Through Serving as a Competitive Endogenous RNA for microRNA-432-5p (Cancer Management and Research, DOI 10.2147/CMAR.S291778)"
G051,32589,46596,Insufficient evidence,Generic genre-template similarity only,Medium,Insufficient evidence,Heuristic candidate downgraded on re-review,Corpus exact-match scan and TF-IDF review (cosine 0.245),"The pair shares a molecule or a common lncRNA/miRNA cancer-paper assay sequence, but no verbatim passage or sufficiently distinctive multi-sentence scaffold was found. This supports genre-level formulaicity, not pair-specific suspicious reuse.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, RECLASSIFIED] Originally labeled ""Possible template reuse"" based on a shared gene/lncRNA/miRNA symbol and similar assay-list structure. On stricter re-review (no verbatim exact-match text was found between these two abstracts anywhere in the corpus scan), this is downgraded: sharing a popular target molecule and standard field methodology (RT-qPCR, CCK-8, transwell, xenograft) is expected for independent papers in this genre and is not, by itself, evidence of template reuse per the labeling rubric. [TF-IDF title+abstract cosine similarity = 0.245] Titles follow the same fixed formula (lncRNA/miRNA <ENTITY> [promotes|inhibits] proliferation/migration/invasion via/by targeting/sponging <target>) with 'FGD5AS1' reused in a different tumor type. Methods sections both run the same assay chain (RT-qPCR, CCK-8/MTT, transwell migration+invasion, flow cytometry apoptosis, luciferase reporter target validation, xenograft in vivo, rescue experiment) in the same order. Institutions and author lists do not overlap (aside from possible coincidental common surnames), so this reuse is not explained by a shared research group.","Record ID 32589.0 - Long Noncoding RNA FGD5-AS1 Acts as a Competing Endogenous RNA on microRNA-383 to Enhance the Malignant Characteristics of Esophageal Squamous Cell Carcinoma by Increasing SP1 Expression (Cancer Management and Research, DOI 10.2147/CMAR.S236576)","Record ID 46596.0 - Long Noncoding RNA FGD5-AS1 Promotes Glioma Cell Proliferation, Migration and Invasion by Regulating Wnt/β-Catenin Pathway (Cancer Management and Research, DOI 10.2147/CMAR.S250284)"
G052,32984,35224,Insufficient evidence,Generic genre-template similarity only,Medium,Insufficient evidence,Heuristic candidate downgraded on re-review,Corpus exact-match scan and TF-IDF review (cosine 0.244),"The pair shares a molecule or a common lncRNA/miRNA cancer-paper assay sequence, but no verbatim passage or sufficiently distinctive multi-sentence scaffold was found. This supports genre-level formulaicity, not pair-specific suspicious reuse.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, RECLASSIFIED] Originally labeled ""Possible template reuse"" based on a shared gene/lncRNA/miRNA symbol and similar assay-list structure. On stricter re-review (no verbatim exact-match text was found between these two abstracts anywhere in the corpus scan), this is downgraded: sharing a popular target molecule and standard field methodology (RT-qPCR, CCK-8, transwell, xenograft) is expected for independent papers in this genre and is not, by itself, evidence of template reuse per the labeling rubric. [TF-IDF title+abstract cosine similarity = 0.244] Titles follow the same fixed formula (lncRNA/miRNA <ENTITY> [promotes|inhibits] proliferation/migration/invasion via/by targeting/sponging <target>) with 'MICRORNA493' reused in a different tumor type. Methods sections both run the same assay chain (RT-qPCR, CCK-8/MTT, transwell migration+invasion, flow cytometry apoptosis, luciferase reporter target validation, xenograft in vivo, rescue experiment) in the same order. Institutions and author lists do not overlap (aside from possible coincidental common surnames), so this reuse is not explained by a shared research group.","Record ID 32984.0 - Long Noncoding RNA LINC00173 Promotes the Malignancy of Melanoma by Promoting the Expression of IRS4 Through Competitive Binding to microRNA-493 (Cancer Management and Research, DOI 10.2147/CMAR.S243869)","Record ID 35224.0 - Long Non-Coding RNA LINC00466 Knockdown Inhibits Tongue Squamous Cell Carcinoma Malignancy by Targeting microRNA-493/HMGA2 (Cancer Management and Research, DOI 10.2147/CMAR.S282625)"
G053,33027,53799,Insufficient evidence,Generic genre-template similarity only,Medium,Insufficient evidence,Heuristic candidate downgraded on re-review,Corpus exact-match scan and TF-IDF review (cosine 0.243),"The pair shares a molecule or a common lncRNA/miRNA cancer-paper assay sequence, but no verbatim passage or sufficiently distinctive multi-sentence scaffold was found. This supports genre-level formulaicity, not pair-specific suspicious reuse.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, RECLASSIFIED] Originally labeled ""Possible template reuse"" based on a shared gene/lncRNA/miRNA symbol and similar assay-list structure. On stricter re-review (no verbatim exact-match text was found between these two abstracts anywhere in the corpus scan), this is downgraded: sharing a popular target molecule and standard field methodology (RT-qPCR, CCK-8, transwell, xenograft) is expected for independent papers in this genre and is not, by itself, evidence of template reuse per the labeling rubric. [TF-IDF title+abstract cosine similarity = 0.243] Titles follow the same fixed formula (lncRNA/miRNA <ENTITY> [promotes|inhibits] proliferation/migration/invasion via/by targeting/sponging <target>) with 'LINC01224' reused in a different tumor type. Methods sections both run the same assay chain (RT-qPCR, CCK-8/MTT, transwell migration+invasion, flow cytometry apoptosis, luciferase reporter target validation, xenograft in vivo, rescue experiment) in the same order. Institutions and author lists do not overlap (aside from possible coincidental common surnames), so this reuse is not explained by a shared research group.","Record ID 33027.0 - LINC01224 Exhibits Cancer-Promoting Activity in Epithelial Ovarian Cancer Through microRNA-485-5p-Mediated PAK4 Upregulation (OncoTargets and Therapy, DOI 10.2147/OTT.S254662)","Record ID 53799.0 - LINC01224 accelerates malignant transformation via MiR-193a-5p/CDK8 axis in gastric cancer (Cancer Medicine, DOI 10.1002/cam4.3726)"
G054,32799,34956,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.243),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.243] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 32799.0 - Tectonic 1 Is a Key Regulator of Cell Proliferation in Pancreatic Cancer (Cancer Biotherapy & Radiopharmaceuticals, DOI 10.1089/cbr.2014.1778)","Record ID 34956.0 - lncRNA-XLOC_012370 Promotes the Development of Pancreatic Cancer and Inactivates the NF-κB Pathway Through miR-140-5p (Frontiers in Oncology, DOI 10.3389/fonc.2020.620550)"
G055,33027,33483,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.239),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.239] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 33027.0 - LINC01224 Exhibits Cancer-Promoting Activity in Epithelial Ovarian Cancer Through microRNA-485-5p-Mediated PAK4 Upregulation (OncoTargets and Therapy, DOI 10.2147/OTT.S254662)","Record ID 33483.0 - MicroRNA-936 targets FGF2 to inhibit epithelial ovarian cancer aggressiveness by deactivating the PI3K/Akt pathway (OncoTargets and Therapy, DOI 10.2147/OTT.S213231)"
G056,44073,53846,Insufficient evidence,Generic genre-template similarity only,Medium,Insufficient evidence,Heuristic candidate downgraded on re-review,Corpus exact-match scan and TF-IDF review (cosine 0.235),"The pair shares a molecule or a common lncRNA/miRNA cancer-paper assay sequence, but no verbatim passage or sufficiently distinctive multi-sentence scaffold was found. This supports genre-level formulaicity, not pair-specific suspicious reuse.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, RECLASSIFIED] Originally labeled ""Possible template reuse"" based on a shared gene/lncRNA/miRNA symbol and similar assay-list structure. On stricter re-review (no verbatim exact-match text was found between these two abstracts anywhere in the corpus scan), this is downgraded: sharing a popular target molecule and standard field methodology (RT-qPCR, CCK-8, transwell, xenograft) is expected for independent papers in this genre and is not, by itself, evidence of template reuse per the labeling rubric. [TF-IDF title+abstract cosine similarity = 0.235] Titles follow the same fixed formula (lncRNA/miRNA <ENTITY> [promotes|inhibits] proliferation/migration/invasion via/by targeting/sponging <target>) with 'NEAT1' reused in a different tumor type. Methods sections both run the same assay chain (RT-qPCR, CCK-8/MTT, transwell migration+invasion, flow cytometry apoptosis, luciferase reporter target validation, xenograft in vivo, rescue experiment) in the same order. Institutions and author lists do not overlap (aside from possible coincidental common surnames), so this reuse is not explained by a shared research group.","Record ID 44073.0 - LncRNA NEAT1 enhances the radio-resistance of cervical cancer via miR-193b-3p/CCND1 axis (Oncotarget, DOI 10.18632/oncotarget.23416)","Record ID 53846.0 - Long Noncoding RNA NEAT1 Promotes Cell Proliferation and Invasion and Suppresses Apoptosis in Hepatocellular Carcinoma by Regulating miRNA-22-3p/akt2 in vitro and in vivo (OncoTargets and Therapy, DOI 10.2147/OTT.S224521)"
G057,32987,47415,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.235),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.235] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 32987.0 - Long Noncoding RNA X-Inactive Specific Transcript Facilitates Cellular Functions in Melanoma via miR-139-5p/ROCK1 Pathway (OncoTargets and Therapy, DOI 10.2147/OTT.S225661)","Record ID 47415.0 - Silencing of long non-coding RNA XIST represses gastric cancer progression through blocking NFκB pathway via inhibiting HNF4A-mediated transcription of EPHA1 (Cancer Gene Therapy, DOI 10.1038/s41417-020-00220-5)"
G058,32218,32984,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.232),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.232] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 32218.0 - Long Noncoding RNA SNHG7, a Molecular Sponge for microRNA-485, Promotes the Aggressive Behavior of Cervical Cancer by Regulating PAK4 (OncoTargets and Therapy, DOI 10.2147/OTT.S232542)","Record ID 32984.0 - Long Noncoding RNA LINC00173 Promotes the Malignancy of Melanoma by Promoting the Expression of IRS4 Through Competitive Binding to microRNA-493 (Cancer Management and Research, DOI 10.2147/CMAR.S243869)"
G059,33334,46431,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.230),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.23] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 33334.0 - Downregulation of Long Noncoding RNA HOTAIR and EZH2 Induces Apoptosis and Inhibits Proliferation, Invasion, and Migration of Human Breast Cancer Cells (Cancer Biotherapy & Radiopharmaceuticals, DOI 10.1089/cbr.2017.2432)","Record ID 46431.0 - LINC00504 Promotes the Malignant Biological Behavior of Breast Cancer Cells by Upregulating HMGB3 via Decoying MicroRNA-876-3p (Cancer Management and Research, DOI 10.2147/CMAR.S276290)"
G060,44096,46812,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.224),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.224] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 44096.0 - MicroRNA-296 Targets Specificity Protein 1 to Suppress Cell Proliferation and Invasion in Cervical Cancer (Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics, DOI 10.3727/096504017x15132494420120)","Record ID 46812.0 - Long Intergenic Non-Coding RNA LINC00885 Promotes Tumorigenesis of Cervical Cancer by Upregulating MACC1 Expression Through Serving as a Competitive Endogenous RNA for microRNA-432-5p (Cancer Management and Research, DOI 10.2147/CMAR.S291778)"
G061,53798,55437,Insufficient evidence,Generic genre-template similarity only,Medium,Insufficient evidence,Heuristic candidate downgraded on re-review,Corpus exact-match scan and TF-IDF review (cosine 0.224),"The pair shares a molecule or a common lncRNA/miRNA cancer-paper assay sequence, but no verbatim passage or sufficiently distinctive multi-sentence scaffold was found. This supports genre-level formulaicity, not pair-specific suspicious reuse.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, RECLASSIFIED] Originally labeled ""Possible template reuse"" based on a shared gene/lncRNA/miRNA symbol and similar assay-list structure. On stricter re-review (no verbatim exact-match text was found between these two abstracts anywhere in the corpus scan), this is downgraded: sharing a popular target molecule and standard field methodology (RT-qPCR, CCK-8, transwell, xenograft) is expected for independent papers in this genre and is not, by itself, evidence of template reuse per the labeling rubric. [TF-IDF title+abstract cosine similarity = 0.224] Titles follow the same fixed formula (lncRNA/miRNA <ENTITY> [promotes|inhibits] proliferation/migration/invasion via/by targeting/sponging <target>) with 'UCA1' reused in a different tumor type. Methods sections both run the same assay chain (RT-qPCR, CCK-8/MTT, transwell migration+invasion, flow cytometry apoptosis, luciferase reporter target validation, xenograft in vivo, rescue experiment) in the same order. Institutions and author lists do not overlap (aside from possible coincidental common surnames), so this reuse is not explained by a shared research group.","Record ID 53798.0 - Long noncoding RNA UCA1 promotes cell growth, migration, and invasion by targeting miR-143-3p in oral squamous cell carcinoma (Cancer Medicine, DOI 10.1002/cam4.2808)","Record ID 55437.0 - Long Noncoding RNA UCA1 Targets miR-582-5p and Contributes to the Progression and Drug Resistance of Bladder Cancer Cells Through ATG7-Mediated Autophagy Inhibition (OncoTargets and Therapy, DOI 10.2147/OTT.S183940)"
G062,32985,37827,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Low-similarity heuristic negative,Corpus exact-match scan and TF-IDF review (cosine 0.222),"No verbatim passage or distinctive entity-swapped section was identified; the remaining similarity is limited to disease, molecule, title formula, or routine assay vocabulary.",Topic/domain similarity only: no verbatim reused passage found; overlap limited to shared target molecule and/or standard assay vocabulary common across the corpus.,none,no,"[Origin: Claude TF-IDF/heuristic pass, confirmed as insufficient evidence on re-review] [TF-IDF title+abstract cosine similarity = 0.222] Similarity score is driven by generic, field-standard methodology language common to nearly all papers in this retracted-paper-mill corpus, rather than by a specific reused template or entity. Different mechanistic target, different cancer subtype framing, and no shared institution/author. Recommend against inclusion in a suspicious cluster without further text-level evidence.","Record ID 32985.0 - Long Non-Coding RNA LINC00491 Contributes to the Malignancy of Non-Small-Cell Lung Cancer via Competitively Binding to microRNA-324-5p and Thereby Increasing Specificity Protein 1 Expression (Cancer Management and Research, DOI 10.2147/CMAR.S264681)","Record ID 37827.0 - Long non-coding RNA TPT1-AS1 promotes cell growth and metastasis in cervical cancer via acting AS a sponge for miR-324-5p (Journal of Experimental & Clinical Cancer Research: (CR), DOI 10.1186/s13046-018-0846-8)"
